121; Nepal;524;21576;23941;25745;27013;27015;29137;9396;10903;11920;12788;13297;12398;13348;9510;10673;12021;12957;13717;14617;15788
122; Pakistan;586;123777;142344;160304;179425;199427;220892;55821;63985;73474;82676;92427;102641;113672;51827;59792;68870;77628;86998;96786;107220
123; Sri Lanka;144;18243;18778;19545;20262;20908;21413;8748;9163;9366;9638;9866;10078;10267;8578;9080;9412;9907;10395;10830;11146
124;Western Asia;922;166667;184559;205564;232427;257658;279637;75333;84826;93779;105431;120860;134356;146457;72983;81841;90779;100133;111567;123302;133180
125; Armenia;51;3217;3070;2981;2877;2926;2963;1715;1524;1441;1402;1346;1375;1394;1823;1693;1629;1579;1531;1550;1569
126; Azerbaijan*;31;7775;8123;8539;9032;9623;10139;3541;3797;3971;4207;4475;4789;5065;3701;3978;4151;4332;4557;4834;5075
127; Bahrain;48;564;665;889;1241;1372;1702;286;325;381;534;774;847;1100;210;239;283;355;467;525;601
128; Cyprus*;196;855;943;1028;1113;1161;1207;389;432;475;520;556;581;604;378;424;468;507;557;580;604
129; Georgia*;268;4976;4362;4210;4099;4024;3989;2572;2355;2072;2007;1953;1922;1901;2838;2621;2290;2203;2146;2102;2088
130; Iraq;368;20149;23498;26922;29742;35572;40223;8785;10160;11852;13600;15022;17984;20358;8634;9990;11645;13323;14720;17589;19865
131; Israel;376;5271;5946;6529;7346;7978;8656;2220;2603;2930;3221;3628;3956;4308;2228;2668;3016;3309;3718;4022;4347
132; Jordan;400;4589;5122;5766;7262;9267;10203;1868;2400;2655;2975;3704;4693;5166;1698;2189;2467;2791;3558;4573;5037
133; Kuwait;414;1606;2045;2270;2992;3836;4271;1191;933;1195;1340;1730;2256;2614;905;673;850;930;1262;1580;1656
134; Lebanon;422;3528;3843;4699;4953;6533;6825;1383;1754;1915;2391;2516;3288;3436;1420;1774;1928;2308;2437;3245;3390
135; Oman;512;2204;2268;2511;3041;4267;5107;1009;1307;1273;1420;1835;2783;3370;803;897;995;1091;1207;1484;1736
136; Qatar;634;513;592;865;1856;2566;2881;319;338;386;585;1419;1950;2165;157;175;206;281;437;615;716
137; Saudi Arabia;682;18639;20664;23816;27421;31718;34814;9087;10336;11248;13261;15427;18041;20131;7147;8303;9415;10555;11994;13677;14683
138; State of Palestine*;275;2619;3224;3578;4056;4529;5101;1065;1329;1637;1817;2058;2298;2587;1036;1290;1587;1761;1998;2231;2514
139; Syrian Arab Republic;760;14345;16411;18361;21363;17997;17501;6292;7256;8302;9368;10785;9066;8760;6154;7090;8109;8993;10577;8931;8741
140; Turkey;792;58486;63240;67903;72327;78529;84339;26630;28836;31144;33420;35564;38650;41636;27291;29650;32096;34484;36763;39879;42703
141; United Arab Emirates;784;2415;3134;4588;8550;9263;9890;1198;1604;2117;3229;6396;6521;6836;630;812;1017;1359;2154;2742;3054
142; Yemen;887;14913;17409;20107;23155;26498;29826;5782;7537;8783;10134;11672;13356;15025;5928;7376;8626;9973;11483;13142;14801
143; EUROPE;908;726994;725558;729288;736413;743059;747636;347005;350136;349427;351223;354615;358183;361061;373854;376859;376131;378064;381798;384876;386575
144;Eastern Europe;923;309435;303918;297501;294873;294391;293013;146842;146744;143818;140214;138614;138435;137830;162967;162691;160101;157287;156259;155956;155183
145; Belarus;112;10078;9872;9562;9421;9439;9449;4761;4725;4634;4464;4380;4392;4399;5390;5353;5238;5098;5041;5047;5050
146; Bulgaria;100;8379;7998;7687;7425;7200;6948;4357;4102;3898;3741;3616;3502;3374;4484;4277;4100;3946;3809;3698;3574
147; Czechia;203;10358;10289;10258;10537;10601;10709;5020;5033;5006;4997;5172;5209;5273;5321;5325;5284;5262;5365;5392;5436
148; Hungary;348;10349;10221;10086;9927;9778;9660;4984;4944;4862;4786;4710;4647;4598;5393;5405;5358;5300;5217;5131;5062
149; Poland;616;38459;38557;38369;38330;38034;37847;18485;18706;18718;18577;18532;18435;18338;19476;19753;19839;19792;19798;19599;19509
150; Republic of Moldova*;498;4341;4203;4159;4086;4071;4034;2081;2073;2011;1992;1964;1956;1932;2285;2267;2191;2167;2122;2114;2102
151; Romania;642;22965;22137;21417;20472;19925;19238;11580;11284;10830;10439;9940;9700;9354;11910;11681;11308;10979;10532;10225;9884
152; Russian Federation;643;148227;146405;143672;143479;144985;145934;69061;69530;68503;66851;66541;67171;67640;78471;78698;77902;76821;76938;77814;78294
153; Slovakia;703;5375;5399;5399;5404;5436;5460;2581;2616;2622;2617;2621;2641;2658;2707;2760;2778;2781;2783;2794;2801
154; Ukraine*;804;50904;48838;46891;45792;44922;43734;23933;23732;22734;21750;21137;20782;20263;27530;27172;26104;25141;24655;24140;23471
155;Northern Europe;924;93177;94454;96307;100398;103519;106261;44789;45345;46050;47127;49283;50984;52487;47247;47832;48404;49180;51115;52535;53774
156; Channel Islands*;830;143;148;152;160;165;174;68;70;72;74;79;82;86;72;74;76;77;81;84;88
157; Denmark*;208;5233;5341;5422;5555;5689;5792;2536;2585;2643;2685;2756;2829;2879;2605;2648;2698;2736;2799;2860;2913
158; Estonia;233;1433;1399;1356;1332;1315;1327;732;663;653;630;620;615;628;833;770;747;726;712;700;698
159; Faroe Islands*;234;46;47;48;48;48;49;..;..;..;..;..;..;..;..;..;..;..;..;..;..
160; Finland*;246;5119;5188;5259;5366;5481;5541;2425;2493;2533;2574;2633;2698;2732;2572;2626;2655;2685;2732;2784;2808
161; Iceland;352;268;280;295;320;330;341;128;134;140;148;161;166;171;127;133;140;147;159;165;170
162; Ireland;372;3592;3783;4141;4554;4652;4938;1747;1784;1880;2067;2263;2303;2451;1764;1808;1903;2074;2291;2350;2486
163; Isle of Man*;833;72;77;80;85;83;85;..;..;..;..;..;..;..;..;..;..;..;..;..;..
164; Latvia;428;2508;2384;2252;2119;1998;1886;1241;1156;1096;1032;970;916;869;1423;1353;1289;1219;1149;1082;1017
165; Lithuania;440;3627;3502;3344;3124;2932;2722;1749;1709;1639;1554;1438;1350;1260;1947;1918;1863;1791;1686;1582;1462
166; Norway*;578;4367;4499;4632;4886;5200;5421;2100;2160;2229;2298;2442;2618;2740;2147;2207;2270;2334;2443;2582;2681
167; Sweden;752;8836;8882;9039;9390;9765;10099;4232;4366;4392;4482;4677;4881;5059;4335;4470;4489;4557;4713;4884;5040
168; United Kingdom*;826;57932;58923;60288;63460;65860;67886;27772;28167;28712;29517;31175;32461;33542;29362;29765;30212;30770;32285;33399;34344
169;Southern Europe;925;144332;144847;149676;153016;153065;152215;70196;70467;70716;73241;74754;74663;74369;73308;73866;74131;76435;78262;78402;77846
170; Albania;8;3113;3129;3087;2948;2891;2878;1683;1534;1584;1552;1485;1471;1465;1603;1579;1546;1535;1463;1419;1413
171; Andorra;20;64;65;79;84;78;77;..;..;..;..;..;..;..;..;..;..;..;..;..;..
172; Bosnia and Herzegovina;70;3829;3751;3765;3705;3429;3281;2210;1878;1842;1850;1820;1681;1607;2253;1951;1910;1916;1886;1748;1674
173; Croatia;191;4617;4428;4378;4328;4233;4105;2316;2233;2132;2108;2085;2035;1979;2461;2384;2296;2270;2244;2197;2126
174; Gibraltar*;292;29;31;33;34;34;34;..;..;..;..;..;..;..;..;..;..;..;..;..;..
175; Greece;300;10746;11082;11225;10888;10660;10423;5070;5339;5508;5556;5349;5233;5116;5156;5406;5574;5668;5539;5427;5307
176; Holy See*;336;1;1;1;1;1;1;..;..;..;..;..;..;..;..;..;..;..;..;..;..
177; Italy;380;57174;56692;58281;59325;60578;60462;27733;27752;27435;28296;28705;29394;29438;29316;29422;29258;29985;30621;31184;31024
178; Malta;470;377;394;405;414;434;442;178;186;195;201;206;217;221;184;191;198;204;209;217;220
179; Montenegro;499;620;614;616;624;627;628;306;308;303;303;308;310;311;309;312;310;313;316;317;317
180; North Macedonia;807;1983;2035;2060;2071;2079;2083;1004;995;1019;1030;1035;1040;1042;992;988;1015;1031;1036;1039;1041
181; Portugal;620;10091;10297;10508;10596;10368;10197;4763;4861;4966;5080;5071;4910;4824;5132;5230;5331;5429;5525;5458;5373
182; San Marino;674;26;27;29;31;33;34;..;..;..;..;..;..;..;..;..;..;..;..;..;..
183; Serbia*;688;9884;9488;9194;8991;8877;8737;4698;4871;4656;4501;4406;4351;4280;4820;5014;4832;4693;4585;4526;4458
184; Slovenia;705;1991;1988;1995;2043;2071;2079;975;966;972;975;1012;1029;1035;1031;1025;1016;1019;1031;1042;1044
185; Spain*;724;39787;40825;44019;46931;46672;46755;19204;19481;20041;21716;23196;22916;22978;19999;20306;20784;22303;23735;23756;23776
186;Western Europe;926;180050;182339;185804;188126;192084;196146;85177;87579;88843;90641;91965;94101;96375;90332;92471;93496;95163;96162;97984;99772
187; Austria;40;7990;8069;8254;8410;8679;9006;3695;3856;3916;4012;4099;4249;4440;4029;4134;4153;4242;4311;4430;4567
188; Belgium;56;10186;10282;10547;10939;11288;11590;4896;4986;5035;5174;5372;5549;5744;5111;5200;5247;5373;5567;5739;5845
189; France*;250;57802;59015;61120;62880;64453;65274;27577;28087;28625;29590;30459;31231;31589;29090;29715;30390;31530;32421;33222;33684
190; Germany;276;81139;81401;81603;80827;81787;83784;38146;39343;39641;39873;39619;40225;41416;40908;41796;41760;41729;41208;41563;42368
191; Liechtenstein;438;31;33;35;36;37;38;..;..;..;..;..;..;..;..;..;..;..;..;..;..
192; Luxembourg;442;408;436;458;508;567;626;187;200;215;226;252;284;317;195;208;221;232;256;282;309
193; Monaco;492;31;32;34;36;38;39;..;..;..;..;..;..;..;..;..;..;..;..;..;..
194; Netherlands*;528;15468;15926;16367;16683;16938;17135;7402;7661;7889;8116;8284;8420;8537;7563;7807;8037;8251;8399;8518;8598
195; Switzerland;756;6996;7144;7387;7809;8297;8655;3248;3417;3490;3616;3845;4106;4294;3405;3579;3653;3771;3964;4191;4361
196; LATIN AMERICA AND THE CARIBBEAN;904;483018;521836;557501;591352;623934;653962;219608;238982;257773;274945;291416;307137;321629;223232;244036;264064;282556;299936;316797;332334
197;Caribbean;915;36162;38102;39746;41217;42622;43532;16905;17930;18859;19676;20391;21071;21494;17153;18233;19243;20070;20827;21552;22038
198; Anguilla*;660;10;11;12;13;14;15;..;..;..;..;..;..;..;..;..;..;..;..;..;..
199; Antigua and Barbuda;28;69;76;81;88;94;98;30;33;36;39;42;45;47;32;36;40;43;46;49;51
200; Aruba*;533;80;91;100;102;104;107;31;40;44;48;48;50;51;31;41;47;52;53;55;56
201; Bahamas;44;280;298;325;355;374;393;127;138;145;158;172;182;191;129;142;153;167;183;193;202
202; Barbados;52;266;272;276;282;285;287;126;128;130;133;135;138;139;135;138;141;144;147;148;148
203; Bonaire, Sint Eustatius and Saba*;535;15;14;14;21;25;26;..;..;..;..;..;..;..;..;..;..;..;..;..;..
204; British Virgin Islands*;92;19;20;23;28;29;30;..;..;..;..;..;..;..;..;..;..;..;..;..;..
205; Cayman Islands*;136;32;42;49;57;62;66;..;..;..;..;..;..;..;..;..;..;..;..;..;..
206; Cuba;192;10888;11126;11262;11226;11325;11327;5307;5447;5547;5613;5584;5628;5623;5290;5441;5579;5648;5642;5697;5703
